lemma,derivation,lemma_raw,lemma_betacode,lemma_betacode_raw,derivation_raw,derivation_betacode,prefix,prefix_betacode,query_lemmas
κομπολάκυθος,"κόμπος, λάσκω",κομπολάκυθος,kompola/kuqos,kompolakuqos,"['κόμπος', 'λάσκω']","['kompos', 'laskw']",[],[],κομπολακυθος / kompolakuqos
γατομέω,"γᾶ, τέμνω",γατομέω,gatome/w,gatomew,"['γᾶ', 'τέμνω']","['ga', 'temnw']",[],[],γατομεω / gatomew
σκιοειδής,"σκιά, εἶδος",σκιοειδής,skioeidh/s,skioeidhs,"['σκιά', 'εἶδος']","['skia', 'eidos']",[],[],σκιοειδης / skioeidhs
κέοιτο,,κέοιτο,ke/oito,keoito,[],[],[],[],κεοιτο / keoito
παρηλλαγμένως,,παρηλλαγμένως,parhllagme/nws,parhllagmenws,[],[],[],[],παρηλλαγμενως / parhllagmenws
σύγκολλος,"σύν, κόλλα",σύγκολλος,su/gkollos,sugkollos,"['σύν', 'κόλλα']","['sun', 'kolla']",['σύν'],['sun'],συγκολλος / sugkollos
φιλοφρονέω,"φίλος, φρήν",φιλοφρονέω,filofrone/w,filofronew,"['φίλος', 'φρήν']","['filos', 'frhn']",[],[],φιλοφρονεω / filofronew
πολυτειρής 1,"πολύς, τείρω",πολυτειρής,poluteirh/s,poluteirhs,"['πολύς', 'τείρω']","['polus', 'teirw']",[],[],πολυτειρης / poluteirhs
τρέψις,τρέπω,τρέψις,tre/yis,treyis,['τρέπω'],['trepw'],[],[],τρεψις / treyis
μαλακισμός,μαλακίζομαι,μαλακισμός,malakismo/s,malakismos,['μαλακίζομαι'],['malakizomai'],[],[],μαλακισμος / malakismos
χερσία,χέρσος,χερσία,xersi/a,xersia,['χέρσος'],['xersos'],[],[],χερσια / xersia
ψαλμῳδός,"ψαλμός, ᾠδός",ψαλμῳδός,yalmw|do/s,yalmwdos,"['ψαλμός', 'ᾠδός']","['yalmos', 'wdos']",[],[],ψαλμωδος / yalmwdos
ἐθελοκάκησις,ἐθελοκακέω,ἐθελοκάκησις,e)qeloka/khsis,eqelokakhsis,['ἐθελοκακέω'],['eqelokakew'],[],[],εθελοκακησις / eqelokakhsis
Βόλισσος,,Βόλισσος,*Bo/lissos,Bolissos,[],[],[],[],Βολισσος / Bolissos
μελιηδής,"μέλι, ἡδύς",μελιηδής,melihdh/s,melihdhs,"['μέλι', 'ἡδύς']","['meli', 'hdus']",[],[],μελιηδης / melihdhs
στροβιλίτης,στρόβιλος,στροβιλίτης,strobili/ths,strobiliths,['στρόβιλος'],['strobilos'],[],[],στροβιλιτης / strobiliths
κόλλυβον,,κόλλυβον,ko/llubon,kollubon,[],[],[],[],κολλυβον / kollubon
ἐβένινος,ἔβενος,ἐβένινος,e)be/ninos,ebeninos,['ἔβενος'],['ebenos'],[],[],εβενινος / ebeninos
χοινικομέτρης,"χοῖνιξ, μετρέω",χοινικομέτρης,xoinikome/trhs,xoinikometrhs,"['χοῖνιξ', 'μετρέω']","['xoinic', 'metrew']",[],[],χοινικομετρης / xoinikometrhs
ἐπισχερώ,"ἐπί, σχερός",ἐπισχερώ,e)pisxerw/,episxerw,"['ἐπί', 'σχερός']","['epi', 'sxeros']",['ἐπί'],['epi'],επισχερω / episxerw
