lemma,derivation,lemma_raw,lemma_betacode,lemma_betacode_raw,derivation_raw,derivation_betacode,prefix,prefix_betacode,query_lemmas
σκορπιστικός,σκορπίζω,σκορπιστικός,skorpistiko/s,skorpistikos,['σκορπίζω'],['skorpizw'],[],[],σκορπιστικος / skorpistikos
ἄναυλος 2,αὐλή,ἄναυλος,a)/naulos,anaulos,['αὐλή'],['aulh'],[],[],αναυλος / anaulos
ἀποδειλίασις,"ἀπό, δειλιάω",ἀποδειλίασις,a)podeili/asis,apodeiliasis,"['ἀπό', 'δειλιάω']","['apo', 'deiliaw']",['ἀπό'],['apo'],αποδειλιασις / apodeiliasis
γηράς,,γηράς,ghra/s,ghras,[],[],[],[],γηρας / ghras
ἁλυκᾶτος,ἁλυκός,ἁλυκᾶτος,a(luka=tos,alukatos,['ἁλυκός'],['alukos'],[],[],αλυκατος / alukatos
κηριάπτης,"Lat. ceriforus, ceriolum",κηριάπτης,khria/pths,khriapths,[],[],[],[],κηριαπτης / khriapths
παραφρίζω,"παρά, ἀφρός",παραφρίζω,parafri/zw,parafrizw,"['παρά', 'ἀφρός']","['para', 'afros']",['παρά'],['para'],παραφριζω / parafrizw
σιτοδείη,,σιτοδείη,sitodei/h,sitodeih,[],[],[],[],σιτοδειη / sitodeih
Φωτίδας,,Φωτίδας,*Fwti/das,Fwtidas,[],[],[],[],Φωτιδας / Fwtidas
συλλαβικός,συλλαβή,συλλαβικός,sullabiko/s,sullabikos,['συλλαβή'],['sullabh'],[],[],συλλαβικος / sullabikos
βαθύγεως,,βαθύγεως,baqu/gews,baqugews,[],[],[],[],βαθυγεως / baqugews
πανάκεια,"πᾶς, ἄκος",πανάκεια,pana/keia,panakeia,"['πᾶς', 'ἄκος']","['pas', 'akos']",[],[],πανακεια / panakeia
σειναρμόστρια,,σειναρμόστρια,seinarmo/stria,seinarmostria,[],[],[],[],σειναρμοστρια / seinarmostria
ἐπικυμάτωσις,"ἐπί, κῦμα",ἐπικυμάτωσις,e)pikuma/twsis,epikumatwsis,"['ἐπί', 'κῦμα']","['epi', 'kuma']",['ἐπί'],['epi'],επικυματωσις / epikumatwsis
πατρότης,πατήρ,πατρότης,patro/ths,patroths,['πατήρ'],['pathr'],[],[],πατροτης / patroths
ὑδερίασις,ὑδεριάω,ὑδερίασις,u(deri/asis,uderiasis,['ὑδεριάω'],['uderiaw'],[],[],υδεριασις / uderiasis
τριβακόομαι,τριβακός,τριβακόομαι,tribako/omai,tribakoomai,['τριβακός'],['tribakos'],[],[],τριβακοομαι / tribakoomai
δορατοδόκη,"δόρυ, δέκομαι",δορατοδόκη,doratodo/kh,doratodokh,"['δόρυ', 'δέκομαι']","['doru', 'dekomai']",[],[],δορατοδοκη / doratodokh
προσκόπτω,"πρός, κόπτω",προσκόπτω,prosko/ptw,proskoptw,"['πρός', 'κόπτω']","['pros', 'koptw']",['πρός'],['pros'],προσκοπτω / proskoptw
νόμαιος,νόμος,νόμαιος,no/maios,nomaios,['νόμος'],['nomos'],[],[],νομαιος / nomaios
θλιμμός,"θλάω, φλίβω",θλιμμός,qlimmo/s,qlimmos,"['θλάω', 'φλίβω']","['qlaw', 'flibw']",[],[],θλιμμος / qlimmos
προαποβάπτω,"πρό, ἀπό, βάπτω",προαποβάπτω,proapoba/ptw,proapobaptw,"['πρό', 'ἀπό', 'βάπτω']","['pro', 'apo', 'baptw']","['πρό', 'ἀπό']","['pro', 'apo']",προαποβαπτω / proapobaptw
μακαρῖτις,μακαρίτης,μακαρῖτις,makari=tis,makaritis,['μακαρίτης'],['makariths'],[],[],μακαριτις / makaritis
ἀντινουθετέω,"ἀντί, νοῦς, τίθημι",ἀντινουθετέω,a)ntinouqete/w,antinouqetew,"['ἀντί', 'νοῦς', 'τίθημι']","['anti', 'nous', 'tiqhmi']",['ἀντί'],['anti'],αντινουθετεω / antinouqetew
φυκίδιον,φυκίς,φυκίδιον,fuki/dion,fukidion,['φυκίς'],['fukis'],[],[],φυκιδιον / fukidion
προσεπιόπτομαι,"πρός, ἐπίοπτος",προσεπιόπτομαι,prosepio/ptomai,prosepioptomai,"['πρός', 'ἐπίοπτος']","['pros', 'epioptos']",['πρός'],['pros'],προσεπιοπτομαι / prosepioptomai
θύμον,θύω 2,θύμον,qu/mon,qumon,['θύω'],['quw'],[],[],θυμον / qumon
νιτρέλαιον,"νίτρον, ἔλαιον",νιτρέλαιον,nitre/laion,nitrelaion,"['νίτρον', 'ἔλαιον']","['nitron', 'elaion']",[],[],νιτρελαιον / nitrelaion
ἀντιφαίνω,"ἀντί, φαίνω",ἀντιφαίνω,a)ntifai/nw,antifainw,"['ἀντί', 'φαίνω']","['anti', 'fainw']",['ἀντί'],['anti'],αντιφαινω / antifainw
μεταλλουργέω,"μέταλλον, ἔργον",μεταλλουργέω,metallourge/w,metallourgew,"['μέταλλον', 'ἔργον']","['metallon', 'ergon']",[],[],μεταλλουργεω / metallourgew
συκοφάντης,"σῦκον, φαίνω",συκοφάντης,sukofa/nths,sukofanths,"['σῦκον', 'φαίνω']","['sukon', 'fainw']",[],[],συκοφαντης / sukofanths
Ἀνάξανδρος,,Ἀνάξανδρος,*)Ana/candros,Anacandros,[],[],[],[],Αναξανδρος / Anacandros
δυσσύμπτωτος,"δυσ-, σύν, πίπτω",δυσσύμπτωτος,dussu/mptwtos,dussumptwtos,"['δυσ', 'σύν', 'πίπτω']","['dus', 'sun', 'piptw']","['δυσ', 'σύν']","['dus', 'sun']",δυσσυμπτωτος / dussumptwtos
Θελξινόη,,Θελξινόη,*Qelcino/h,Qelcinoh,[],[],[],[],Θελξινοη / Qelcinoh
πάροινος,"παρά, οἶνος",πάροινος,pa/roinos,paroinos,"['παρά', 'οἶνος']","['para', 'oinos']",['παρά'],['para'],παροινος / paroinos
ἐπιμασάομαι,"ἐπί, μασάομαι",ἐπιμασάομαι,e)pimasa/omai,epimasaomai,"['ἐπί', 'μασάομαι']","['epi', 'masaomai']",['ἐπί'],['epi'],επιμασαομαι / epimasaomai
ἠπειρῶτις,ἠπειρόω,ἠπειρῶτις,h)peirw=tis,hpeirwtis,['ἠπειρόω'],['hpeirow'],[],[],ηπειρωτις / hpeirwtis
σολοικίζω,Σόλοι,σολοικίζω,soloiki/zw,soloikizw,['Σόλοι'],['Soloi'],[],[],σολοικιζω / soloikizw
παιπάλημα,παιπάλη,παιπάλημα,paipa/lhma,paipalhma,['παιπάλη'],['paipalh'],[],[],παιπαλημα / paipalhma
ἀνάφυσις,"ἀνά, φύω",ἀνάφυσις,a)na/fusis,anafusis,"['ἀνά', 'φύω']","['ana', 'fuw']",['ἀνά'],['ana'],αναφυσις / anafusis
ἀπιστέω,ἄπιστος,ἀπιστέω,a)piste/w,apistew,['ἄπιστος'],['apistos'],[],[],απιστεω / apistew
ἐᾷ,,ἐᾷ,e)a=|,ea,[],[],[],[],εα / ea
Ἄμηστρις,,Ἄμηστρις,*)/Amhstris,Amhstris,[],[],[],[],Αμηστρις / Amhstris
σκαρῖτις,σκάρος,σκαρῖτις,skari=tis,skaritis,['σκάρος'],['skaros'],[],[],σκαριτις / skaritis
παράφωνος,"παρά, φωνή",παράφωνος,para/fwnos,parafwnos,"['παρά', 'φωνή']","['para', 'fwnh']",['παρά'],['para'],παραφωνος / parafwnos
βεβαρηώς,,βεβαρηώς,bebarhw/s,bebarhws,[],[],[],[],βεβαρηως / bebarhws
πολυόφθαλμος,"πολύς, ὀφθαλμός",πολυόφθαλμος,poluo/fqalmos,poluofqalmos,"['πολύς', 'ὀφθαλμός']","['polus', 'ofqalmos']",[],[],πολυοφθαλμος / poluofqalmos
ἐξορθρίζομαι,"ἐξ, ὀρθρίζω",ἐξορθρίζομαι,e)corqri/zomai,ecorqrizomai,"['ἐξ', 'ὀρθρίζω']","['ec', 'orqrizw']",['ἐξ'],['ec'],εξορθριζομαι / ecorqrizomai
τοξοποιία,"τόξον, ποιέω",τοξοποιία,tocopoii/a,tocopoiia,"['τόξον', 'ποιέω']","['tocon', 'poiew']",[],[],τοξοποιια / tocopoiia
Χιτώνη,χιτών,Χιτώνη,*Xitw/nh,Xitwnh,['χιτών'],['xitwn'],[],[],Χιτωνη / Xitwnh
πρόκλαστος,"πρό, κλάζω",πρόκλαστος,pro/klastos,proklastos,"['πρό', 'κλάζω']","['pro', 'klazw']",['πρό'],['pro'],προκλαστος / proklastos
τηλεφόρος,"τῆλε, φέρω",τηλεφόρος,thlefo/ros,thleforos,"['τῆλε', 'φέρω']","['thle', 'ferw']",[],[],τηλεφορος / thleforos
ἰήσιμος,,ἰήσιμος,i)h/simos,ihsimos,[],[],[],[],ιησιμος / ihsimos
βραχιόνιον,,βραχιόνιον,braxio/nion,braxionion,[],[],[],[],βραχιονιον / braxionion
δειδήμων,δείδω,δειδήμων,deidh/mwn,deidhmwn,['δείδω'],['deidw'],[],[],δειδημων / deidhmwn
ἰξοβόρος,"ἰξός, βιβρώσκω",ἰξοβόρος,i)cobo/ros,icoboros,"['ἰξός', 'βιβρώσκω']","['icos', 'bibrwskw']",[],[],ιξοβορος / icoboros
ναυσιβάτης,ναυτιάω,ναυσιβάτης,nausiba/ths,nausibaths,['ναυτιάω'],['nautiaw'],[],[],ναυσιβατης / nausibaths
ὀκλαδιστί,ὀκλάζω,ὀκλαδιστί,o)kladisti/,okladisti,['ὀκλάζω'],['oklazw'],[],[],οκλαδιστι / okladisti
ἀνένταφιάστως,ἐνταφιάζω,ἀνένταφιάστως,a)ne/ntafia/stws,anentafiastws,['ἐνταφιάζω'],['entafiazw'],[],[],ανενταφιαστως / anentafiastws
λίβηθρον,,λίβηθρον,li/bhqron,libhqron,[],[],[],[],λιβηθρον / libhqron
ἄη,,ἄη,a)/h,ah,[],[],[],[],αη / ah
πυργοκέρας,"πύργος, κέρας",πυργοκέρας,purgoke/ras,purgokeras,"['πύργος', 'κέρας']","['purgos', 'keras']",[],[],πυργοκερας / purgokeras
καπνιστικός,καπνιστός,καπνιστικός,kapnistiko/s,kapnistikos,['καπνιστός'],['kapnistos'],[],[],καπνιστικος / kapnistikos
πυρπολητής,πυρπολέω,πυρπολητής,purpolhth/s,purpolhths,['πυρπολέω'],['purpolew'],[],[],πυρπολητης / purpolhths
ὑπογύναιος,"ὑπό, γυνή",ὑπογύναιος,u(pogu/naios,upogunaios,"['ὑπό', 'γυνή']","['upo', 'gunh']",['ὑπό'],['upo'],υπογυναιος / upogunaios
περιπλεκτικός,"περί, πλέκω",περιπλεκτικός,periplektiko/s,periplektikos,"['περί', 'πλέκω']","['peri', 'plekw']",['περί'],['peri'],περιπλεκτικος / periplektikos
ἑπτατόκος,"ἑπτά, τίκτω",ἑπτατόκος,e(ptato/kos,eptatokos,"['ἑπτά', 'τίκτω']","['epta', 'tiktw']",[],[],επτατοκος / eptatokos
ὀνειροπομπ(ε)ία,"ὄνειρος, πέμπω",ὀνειροπομπεία,o)neiropompei/a,oneiropompeia,"['ὄνειρος', 'πέμπω']","['oneiros', 'pempw']",[],[],ονειροπομπεια / oneiropompeia
λακεδών,λακέω,λακεδών,lakedw/n,lakedwn,['λακέω'],['lakew'],[],[],λακεδων / lakedwn
ἀρχιερατεία,"ἀρχι, ἱερατεύω",ἀρχιερατεία,a)rxieratei/a,arxierateia,"['ἀρχι', 'ἱερατεύω']","['arxi', 'ierateuw']",[],[],αρχιερατεια / arxierateia
συνεξευπορέω,"σύν, ἐξ, εὐπορέω",συνεξευπορέω,suneceupore/w,suneceuporew,"['σύν', 'ἐξ', 'εὐπορέω']","['sun', 'ec', 'euporew']","['σύν', 'ἐξ']","['sun', 'ec']",συνεξευπορεω / suneceuporew
εὐπάλαμος,"εὖ, παλάμη",εὐπάλαμος,eu)pa/lamos,eupalamos,"['εὖ', 'παλάμη']","['eu', 'palamh']",['εὖ'],['eu'],ευπαλαμος / eupalamos
ὄρσεο,,ὄρσεο,o)/rseo,orseo,[],[],[],[],ορσεο / orseo
ἀτηρής,,ἀτηρής,a)thrh/s,athrhs,[],[],[],[],ατηρης / athrhs
ἐκλαλητικός,"ἐκ, λαλέω",ἐκλαλητικός,e)klalhtiko/s,eklalhtikos,"['ἐκ', 'λαλέω']","['ek', 'lalew']",['ἐκ'],['ek'],εκλαλητικος / eklalhtikos
ἄκατος,,ἄκατος,a)/katos,akatos,[],[],[],[],ακατος / akatos
δείσοζος,"δεῖσα, ὄζω",δείσοζος,dei/sozos,deisozos,"['δεῖσα', 'ὄζω']","['deisa', 'ozw']",[],[],δεισοζος / deisozos
σαβαύτια,,σαβαύτια,sabau/tia,sabautia,[],[],[],[],σαβαυτια / sabautia
κατατανύω,"κατά, τανύω",κατατανύω,katatanu/w,katatanuw,"['κατά', 'τανύω']","['kata', 'tanuw']",['κατά'],['kata'],κατατανυω / katatanuw
ἔφοδος 3,"ἐπί, ὁδός",ἔφοδος,e)/fodos,efodos,"['ἐπί', 'ὁδός']","['epi', 'odos']",['ἐπί'],['epi'],εφοδος / efodos
ὀξυκέντρος,"ὀξύς, κέντρον",ὀξυκέντρος,o)cuke/ntros,ocukentros,"['ὀξύς', 'κέντρον']","['ocus', 'kentron']",[],[],οξυκεντρος / ocukentros
ἀπόψηφος,"ἀπό, ψῆφος",ἀπόψηφος,a)po/yhfos,apoyhfos,"['ἀπό', 'ψῆφος']","['apo', 'yhfos']",['ἀπό'],['apo'],αποψηφος / apoyhfos
σφαιροπαικτέω,"σφαῖρα, παίζω",σφαιροπαικτέω,sfairopaikte/w,sfairopaiktew,"['σφαῖρα', 'παίζω']","['sfaira', 'paizw']",[],[],σφαιροπαικτεω / sfairopaiktew
ὁμοσκηνόω,"ὁμός, σκηνή",ὁμοσκηνόω,o(moskhno/w,omoskhnow,"['ὁμός', 'σκηνή']","['omos', 'skhnh']",[],[],ομοσκηνοω / omoskhnow
γορυνίας,,γορυνίας,goruni/as,gorunias,[],[],[],[],γορυνιας / gorunias
ἐμπίσαιο,,ἐμπίσαιο,e)mpi/saio,empisaio,[],[],[],[],εμπισαιο / empisaio
ἀρρωστία,ἄρρωστος,ἀρρωστία,a)rrwsti/a,arrwstia,['ἄρρωστος'],['arrwstos'],[],[],αρρωστια / arrwstia
προτελής,"πρό, τέλος",προτελής,protelh/s,protelhs,"['πρό', 'τέλος']","['pro', 'telos']",['πρό'],['pro'],προτελης / protelhs
πισμός,πιπίσκω,πισμός,pismo/s,pismos,['πιπίσκω'],['pipiskw'],[],[],πισμος / pismos
ἐνσκοτίζω,"ἐν, σκοτίζω",ἐνσκοτίζω,e)nskoti/zw,enskotizw,"['ἐν', 'σκοτίζω']","['en', 'skotizw']",['ἐν'],['en'],ενσκοτιζω / enskotizw
ἀνεξάλειπτος,"ἐξ, ἀλείφω",ἀνεξάλειπτος,a)neca/leiptos,anecaleiptos,"['ἐξ', 'ἀλείφω']","['ec', 'aleifw']",['ἐξ'],['ec'],ανεξαλειπτος / anecaleiptos
ὀκναλέος,,ὀκναλέος,o)knale/os,oknaleos,[],[],[],[],οκναλεος / oknaleos
ἐκμιμέομαι,"ἐκ, μιμέομαι",ἐκμιμέομαι,e)kmime/omai,ekmimeomai,"['ἐκ', 'μιμέομαι']","['ek', 'mimeomai']",['ἐκ'],['ek'],εκμιμεομαι / ekmimeomai
ναυσηρός,ναυτία,ναυσηρός,naushro/s,naushros,['ναυτία'],['nautia'],[],[],ναυσηρος / naushros
ἰξίον,ἰξεύω,ἰξίον,i)ci/on,icion,['ἰξεύω'],['iceuw'],[],[],ιξιον / icion
καπνοτόκειος,"καπνός, τίκτω",καπνοτόκειος,kapnoto/keios,kapnotokeios,"['καπνός', 'τίκτω']","['kapnos', 'tiktw']",[],[],καπνοτοκειος / kapnotokeios
πύργινος,πύργος,πύργινος,pu/rginos,purginos,['πύργος'],['purgos'],[],[],πυργινος / purginos
ἀηδών,see ἀείδω?,ἀηδών,a)hdw/n,ahdwn,[],[],[],[],αηδων / ahdwn
ἐξεκατέρωθεν,"ἐξ, ἑκατέρωθεν",ἐξεκατέρωθεν,e)cekate/rwqen,ecekaterwqen,"['ἐξ', 'ἑκατέρωθεν']","['ec', 'ekaterwqen']",['ἐξ'],['ec'],εξεκατερωθεν / ecekaterwqen
λακίζω,λακίς,λακίζω,laki/zw,lakizw,['λακίς'],['lakis'],[],[],λακιζω / lakizw
ὀνέομαι,ὀνίνημι,ὀνέομαι,o)ne/omai,oneomai,['ὀνίνημι'],['oninhmi'],[],[],ονεομαι / oneomai
ἑπτάχορδος,"ἑπτά, χορδή",ἑπτάχορδος,e(pta/xordos,eptaxordos,"['ἑπτά', 'χορδή']","['epta', 'xordh']",[],[],επταχορδος / eptaxordos
ἀλέξιον,ἀλέξω,ἀλέξιον,a)le/cion,alecion,['ἀλέξω'],['alecw'],[],[],αλεξιον / alecion
περιπλανής,"περί, πλάνη",περιπλανής,periplanh/s,periplanhs,"['περί', 'πλάνη']","['peri', 'planh']",['περί'],['peri'],περιπλανης / periplanhs
ὑποδεεστέρως,,ὑποδεεστέρως,u(podeeste/rws,upodeesterws,[],[],[],[],υποδεεστερως / upodeesterws
εὐπαίδευτος,"εὖ, παιδεύω",εὐπαίδευτος,eu)pai/deutos,eupaideutos,"['εὖ', 'παιδεύω']","['eu', 'paideuw']",['εὖ'],['eu'],ευπαιδευτος / eupaideutos
συνεξιδρόω,"σύν, ἐξ, ἱδρόω",συνεξιδρόω,sunecidro/w,sunecidrow,"['σύν', 'ἐξ', 'ἱδρόω']","['sun', 'ec', 'idrow']","['σύν', 'ἐξ']","['sun', 'ec']",συνεξιδροω / sunecidrow
διαπύρωσις,διαπυρόομαι,διαπύρωσις,diapu/rwsis,diapurwsis,['διαπυρόομαι'],['diapuroomai'],[],[],διαπυρωσις / diapurwsis
κατατάσσω,"κατά, τάσσω",κατατάσσω,katata/ssw,katatassw,"['κατά', 'τάσσω']","['kata', 'tassw']",['κατά'],['kata'],κατατασσω / katatassw
σαββατίζω,σάββατον,σαββατίζω,sabbati/zw,sabbatizw,['σάββατον'],['sabbaton'],[],[],σαββατιζω / sabbatizw
Δεισήνωρ,,Δεισήνωρ,*Deish/nwr,Deishnwr,[],[],[],[],Δεισηνωρ / Deishnwr
ἀκάτιον,ἄκατος,ἀκάτιον,a)ka/tion,akation,['ἄκατος'],['akatos'],[],[],ακατιον / akation
Ἔρωχος,,Ἔρωχος,*)/Erwxos,Erwxos,[],[],[],[],Ερωχος / Erwxos
ἐκλάμπω,"ἐκ, λάμπω",ἐκλάμπω,e)kla/mpw,eklampw,"['ἐκ', 'λάμπω']","['ek', 'lampw']",['ἐκ'],['ek'],εκλαμπω / eklampw
Ἀτία,,Ἀτία,*)Ati/a,Atia,[],[],[],[],Ατια / Atia
ἀποψάλλω,"ἀπό, ψάλλω",ἀποψάλλω,a)poya/llw,apoyallw,"['ἀπό', 'ψάλλω']","['apo', 'yallw']",['ἀπό'],['apo'],αποψαλλω / apoyallw
ὀξύθηκτος,"ὀξύς, θήγω",ὀξύθηκτος,o)cu/qhktos,ocuqhktos,"['ὀξύς', 'θήγω']","['ocus', 'qhgw']",[],[],οξυθηκτος / ocuqhktos
ἐφορατικός,"ἐπί, ὁράω",ἐφορατικός,e)foratiko/s,eforatikos,"['ἐπί', 'ὁράω']","['epi', 'oraw']",['ἐπί'],['epi'],εφορατικος / eforatikos
Γορδίου τεῖχος,"Γόρδιος, τεῖχος",Γορδίου τεῖχος,*Gordi/ou tei=xos,Gordiou teixos,"['Γόρδιος', 'τεῖχος']","['Gordios', 'teixos']",[],[],Γορδιου τειχος / Gordiou teixos
περισπουδάζω,"περί, σπουδή",περισπουδάζω,perispouda/zw,perispoudazw,"['περί', 'σπουδή']","['peri', 'spoudh']",['περί'],['peri'],περισπουδαζω / perispoudazw
μυριάκις,μυρίος,μυριάκις,muria/kis,muriakis,['μυρίος'],['murios'],[],[],μυριακις / muriakis
σφαιριστής,σφαιρίζω,σφαιριστής,sfairisth/s,sfairisths,['σφαιρίζω'],['sfairizw'],[],[],σφαιριστης / sfairisths
αἶσχος,cf. Goth. aiwiski?,αἶσχος,ai)=sxos,aisxos,[],[],[],[],αισχος / aisxos
ἐνσκιατροφέομαι,"ἐν, σκιά, τρέφω",ἐνσκιατροφέομαι,e)nskiatrofe/omai,enskiatrofeomai,"['ἐν', 'σκιά', 'τρέφω']","['en', 'skia', 'trefw']",['ἐν'],['en'],ενσκιατροφεομαι / enskiatrofeomai
πίσσανθος,"πίσσα, ἄνθος",πίσσανθος,pi/ssanqos,pissanqos,"['πίσσα', 'ἄνθος']","['pissa', 'anqos']",[],[],πισσανθος / pissanqos
κακοδρομία,"κακός, δρόμος",κακοδρομία,kakodromi/a,kakodromia,"['κακός', 'δρόμος']","['kakos', 'dromos']",[],[],κακοδρομια / kakodromia
Ἄρρων,,Ἄρρων,*)/Arrwn,Arrwn,[],[],[],[],Αρρων / Arrwn
ἐμπιπίσκω,"ἐν, πίνω",ἐμπιπίσκω,e)mpipi/skw,empipiskw,"['ἐν', 'πίνω']","['en', 'pinw']",['ἐν'],['en'],εμπιπισκω / empipiskw
προσεπιρρέω,"πρός, ἐπί, ῥέω",προσεπιρρέω,prosepirre/w,prosepirrew,"['πρός', 'ἐπί', 'ῥέω']","['pros', 'epi', 'rew']","['πρός', 'ἐπί']","['pros', 'epi']",προσεπιρρεω / prosepirrew
πραγματειωδῶς,,πραγματειωδῶς,pragmateiwdw=s,pragmateiwdws,[],[],[],[],πραγματειωδως / pragmateiwdws
ἀντιτυπόω,ἀντίτυπος,ἀντιτυπόω,a)ntitupo/w,antitupow,['ἀντίτυπος'],['antitupos'],[],[],αντιτυποω / antitupow
ταὐτόφωνος,"ταὐτό, φωνή",ταὐτόφωνος,tau)to/fwnos,tautofwnos,"['ταὐτό', 'φωνή']","['tauto', 'fwnh']",[],[],ταυτοφωνος / tautofwnos
Νισυριακός,Νίσυρος,Νισυριακός,*Nisuriako/s,Nisuriakos,['Νίσυρος'],['Nisuros'],[],[],Νισυριακος / Nisuriakos
θύμος,see θύμον,θύμος,qu/mos,qumos,[],[],[],[],θυμος / qumos
στέγω,"cf. Lat. tego, tēgula, toga, OHG dah, Lith. stógas",στέγω,ste/gw,stegw,[],[],[],[],στεγω / stegw
δυσσύνετος,"δυσ-, σύν, ἵημι",δυσσύνετος,dussu/netos,dussunetos,"['δυσ', 'σύν', 'ἵημι']","['dus', 'sun', 'ihmi']","['δυσ', 'σύν']","['dus', 'sun']",δυσσυνετος / dussunetos
Ἀπόληξις,,Ἀπόληξις,*)Apo/lhcis,Apolhcis,[],[],[],[],Αποληξις / Apolhcis
συκοτραγίδης,"σῦκον, τραγεῖν",συκοτραγίδης,sukotragi/dhs,sukotragidhs,"['σῦκον', 'τραγεῖν']","['sukon', 'tragein']",[],[],συκοτραγιδης / sukotragidhs
μεταλλικός,μέταλλον,μεταλλικός,metalliko/s,metallikos,['μέταλλον'],['metallon'],[],[],μεταλλικος / metallikos
εἰδογράφος,"εἴδος, γράφω",εἰδογράφος,ei)dogra/fos,eidografos,"['εἴδος', 'γράφω']","['eidos', 'grafw']",[],[],ειδογραφος / eidografos
ἐπιμαίομαι,"ἐπί, μαίομαι",ἐπιμαίομαι,e)pimai/omai,epimaiomai,"['ἐπί', 'μαίομαι']","['epi', 'maiomai']",['ἐπί'],['epi'],επιμαιομαι / epimaiomai
παρολιγωρητέον,"παρά, ὀλιγωρέω",παρολιγωρητέον,paroligwrhte/on,paroligwrhteon,"['παρά', 'ὀλιγωρέω']","['para', 'oligwrew']",['παρά'],['para'],παρολιγωρητεον / paroligwrhteon
παραμένω,"παρά, μένω",παραμένω,parame/nw,paramenw,"['παρά', 'μένω']","['para', 'menw']",['παρά'],['para'],παραμενω / paramenw
στοιχειωδῶς,,στοιχειωδῶς,stoixeiwdw=s,stoixeiwdws,[],[],[],[],στοιχειωδως / stoixeiwdws
ἀπισχυριστικῶς,"ἀπό, ἰσχυρίζομαι",ἀπισχυριστικῶς,a)pisxuristikw=s,apisxuristikws,"['ἀπό', 'ἰσχυρίζομαι']","['apo', 'isxurizomai']",['ἀπό'],['apo'],απισχυριστικως / apisxuristikws
ἄναφρος,ἀφρός,ἄναφρος,a)/nafros,anafros,['ἀφρός'],['afros'],[],[],αναφρος / anafros
παιστέον,παίζω,παιστέον,paiste/on,paisteon,['παίζω'],['paizw'],[],[],παιστεον / paisteon
σόλος,cf. Hitt. šulai-?,σόλος,so/los,solos,[],[],[],[],σολος / solos
ἤπαφον,,ἤπαφον,h)/pafon,hpafon,[],[],[],[],ηπαφον / hpafon
παραφυτεύω,"παρά, φύω",παραφυτεύω,parafuteu/w,parafuteuw,"['παρά', 'φύω']","['para', 'fuw']",['παρά'],['para'],παραφυτευω / parafuteuw
σκαρδαμύσσω,,σκαρδαμύσσω,skardamu/ssw,skardamussw,[],[],[],[],σκαρδαμυσσω / skardamussw
πενθάς,πένθος,πενθάς,penqa/s,penqas,['πένθος'],['penqos'],[],[],πενθας / penqas
ἀμητίσκος,ἄμης,ἀμητίσκος,a)mhti/skos,amhtiskos,['ἄμης'],['amhs'],[],[],αμητισκος / amhtiskos
δώω,,δώω,dw/w,dww,[],[],[],[],δωω / dww
τοξοειδής,"τόξον, εἶδος",τοξοειδής,tocoeidh/s,tocoeidhs,"['τόξον', 'εἶδος']","['tocon', 'eidos']",[],[],τοξοειδης / tocoeidhs
ἐξοριστέος,"ἐξ, ὁρίζω",ἐξοριστέος,e)coriste/os,ecoristeos,"['ἐξ', 'ὁρίζω']","['ec', 'orizw']",['ἐξ'],['ec'],εξοριστεος / ecoristeos
πολύορνις,,πολύορνις,polu/ornis,poluornis,[],[],[],[],πολυορνις / poluornis
κλίνη,κλίνω,κλίνη,kli/nh,klinh,['κλίνω'],['klinw'],[],[],κλινη / klinh
βραχυδάκτυλος,"βραχύς, δάκτυλος",βραχυδάκτυλος,braxuda/ktulos,braxudaktulos,"['βραχύς', 'δάκτυλος']","['braxus', 'daktulos']",[],[],βραχυδακτυλος / braxudaktulos
τηλίτης,τῆλις,τηλίτης,thli/ths,thliths,['τῆλις'],['thlis'],[],[],τηλιτης / thliths
ἀπαράλλακτος,"παρά, ἀλλάσσω",ἀπαράλλακτος,a)para/llaktos,aparallaktos,"['παρά', 'ἀλλάσσω']","['para', 'allassw']",['παρά'],['para'],απαραλλακτος / aparallaktos
προκλίνω,"πρό, κλίνω",προκλίνω,prokli/nw,proklinw,"['πρό', 'κλίνω']","['pro', 'klinw']",['πρό'],['pro'],προκλινω / proklinw
χιονόχροος,"χιών, χρόα",χιονόχροος,xiono/xroos,xionoxroos,"['χιών', 'χρόα']","['xiwn', 'xroa']",[],[],χιονοχροος / xionoxroos
πολυκαγκής,"πολύς, see κάγκανος",πολυκαγκής,polukagkh/s,polukagkhs,['πολύς'],['polus'],[],[],πολυκαγκης / polukagkhs
Τολοφώνιος,Τολοφών,Τολοφώνιος,*Tolofw/nios,Tolofwnios,['Τολοφών'],['Tolofwn'],[],[],Τολοφωνιος / Tolofwnios
ἀδελφοποιέω,"ἀδελφός, ποιέω",ἀδελφοποιέω,a)delfopoie/w,adelfopoiew,"['ἀδελφός', 'ποιέω']","['adelfos', 'poiew']",[],[],αδελφοποιεω / adelfopoiew
ἐπαυξητικός,ἐπαύξησις,ἐπαυξητικός,e)pauchtiko/s,epauchtikos,['ἐπαύξησις'],['epauchsis'],[],[],επαυξητικος / epauchtikos
ψιττάκιον,,ψιττάκιον,yitta/kion,yittakion,[],[],[],[],ψιττακιον / yittakion
προεσθίω,"πρό, ἐσθίω",προεσθίω,proesqi/w,proesqiw,"['πρό', 'ἐσθίω']","['pro', 'esqiw']",['πρό'],['pro'],προεσθιω / proesqiw
τερσιά,,τερσιά,tersia/,tersia,[],[],[],[],τερσια / tersia
