lemma;derivation;meaning;lsj_ulr;pos;Clean
φρήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=frh/twr;;no
ἀφεστήρ;['ἀπό', 'ἵστημι'];- president of the;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)festh/r;noun;yes
τιμωρητήρ;['τιμωρέω'];- avenger;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=timwrhth/r;noun;yes
θυγάτηρ;[];"- maidservant, slave; duhitár-; daughter";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=quga/thr;noun;yes
κερατήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kerath/r;noun;yes
ῥαντήρ;['ῥαίνω'];"- one who wets; the inner corner of the eye
- sprinkler";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(anth/r;noun;yes
ἐκδέκτωρ;['ἐκ', 'δέχομαι'];- one who takes from another;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)kde/ktwr;noun;yes
ἐπιίστωρ;['ἐπί', 'ἴστωρ'];- privy to;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pii/stwr;noun;yes
φοιτητήρ;['φοιτάω'];- in her train;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=foithth/r;noun;yes
πατροδότωρ;['πατήρ', 'δίδωμι'];;;;yes
στῆρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sth=r;noun;no
δυσμήτηρ;['δυσ', 'μήτηρ'];- yet no mother;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dusmh/thr;noun;no
σφραγιστήρ;['σφραγίζω'];"- sealer; sealring, signet";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sfragisth/r;noun;yes
τραπεζορήτωρ;['τετρα', 'πούς', 'ῥήτωρ'];- table-talker;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=trapezorh/twr;noun;yes
ἠθητήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=h)qhth/r;noun;yes
ἐπαμύντωρ;['ἐπί', 'ἀμύνω'];- helper, defender;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pamu/ntwr;noun;yes
Μάστωρ;[];;;noun;no
κλυστήρ;['κλύζω'];- clyster-pipe, syringe;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klusth/r;noun;yes
προηγήτωρ;[];- leader;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=prohgh/twr;noun;yes
λιτιγάτωρ;[];;;;yes
φιλομήτωρ;['φίλος', 'μήτηρ'];- loving one's mother;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=filomh/twr;noun;no
κυήτωρ;['κυέω'];;;;yes
ἁρπακτήρ;['ἁρπάζω'];- robber;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a(rpakth/r;noun;yes
ἐπανοίκτωρ;['ἐπί', 'ἀνά', 'οἴγω'];- one who bursts open;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)panoi/ktwr;noun;yes
σωτήρ;['σῴζω'];- saviour, deliverer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=swth/r;noun;yes
ἐπιτιμητήρ;['ἐπιτιμάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pitimhth/r;noun;yes
κηδέστωρ;['κηδεστής'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=khde/stwr;noun;yes
μακιστήρ;[];- long and tedious;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=makisth/r;noun;?
ἁλιήτωρ;['ἁλιεύς'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a(lih/twr;;yes
ποινήτωρ;[];- avenging;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=poinh/twr;noun;yes
ψευστήρ;['ψεύδω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=yeusth/r;noun;yes
ἐξαπατητήρ;['ἐξαπατάω'];- deceiver;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)capathth/r;noun;yes
κλιμακτήρ;['κλῖμαξ'];"- rung of a ladder
- critical point in human life; danger";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klimakth/r;noun;yes
Ἄκτωρ;[];;;noun;no
ἀσπιστήρ;['ἀσπίς'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)spisth/r;noun;yes
συμπρατήρ;['σύν', 'πιπράσκω'];;;noun;yes
πατροπάτωρ;['πατήρ', 'πατήρ'];- father's father;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=patropa/twr;noun;no
ἀροτρευτήρ;['ἀροτρεύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)rotreuth/r;noun;yes
κορσωτήρ;['κορσόω'];"- barber; Fr.anon";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=korswth/r;noun;yes
ἐλαϊστήρ;['ἐλαία'];;;noun;yes
παμμήτωρ;['πᾶς', 'μήτηρ'];"- mother of all
- a very mother";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pammh/twr;noun;no
οὐρητήρ;['οὐρέω'];"- Aër
- the ducts which convey the urine from the kidneys into the bladder";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ou)rhth/r;noun;yes
λικμητήρ;['λικμάω'];- winnower;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=likmhth/r;noun;yes
διαβλήτωρ;['διά', 'βάλλω'];- slanderer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diablh/twr;noun;yes
ζηλοδοτήρ;['ζῆλος', 'δοτήρ'];;;noun;yes
ἀρτήρ;['αἴρω'];"- felt shoe
- that by which anything is carried";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)rth/r;noun;yes
ἱππευτήρ;['ἱππεύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i(ppeuth/r;noun;yes
αὐτογεννήτωρ;['αὐτός', 'γεννάω'];;;;yes
καλήτωρ;['καλέω'];- crier;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kalh/twr;noun;yes
ὀπιπευτήρ;['ὀπιπεύω'];- starer, gaper;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)pipeuth/r;noun;yes
παμβώτωρ;['πᾶς', 'βόσκω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pambw/twr;noun;yes
μεσογάστωρ;['μέσος', 'γαστήρ'];"- one who is amidships; girt about the waist";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mesoga/stwr;noun;no
πλωτήρ;['πλώω'];;;noun;yes
αγωνιστήρ;['ἀγωνίζομαι'];;;;yes
ἰχθυοθηρητήρ;['ἰχθῦς', 'θήρ'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i)xquoqhrhth/r;noun;yes
νύκτωρ;['νύξ'];- by night;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nu/ktwr;adverb;no
συνακτήρ;['σύν', 'ἄγω'];- that which draws together, pair of drawers;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sunakth/r;noun;yes
αὐχενιστήρ;['αὐχήν'];- ligature for neck;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=au)xenisth/r;noun;no
ἀσκητήρ;['ἀσκέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)skhth/r;noun;yes
κλήτωρ;['καλέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klh/twr;noun;yes
μεταλλευτήρ;['μεταλλεύω'];;;;yes
ἄκτωρ;['ἄγω'];"- leader
- leash";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)/ktwr;noun;yes
ἀφετήρ;['ἀπό', 'ἵημι'];- starting-point;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)feth/r;noun;yes
ῥοιζήτωρ;['ῥοιζέω'];- one who moves with a rushing sound;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(oizh/twr;noun;yes
ληϊστήρ;[];;;noun;yes
κακομήστωρ;['κακός', 'μήδομαι'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kakomh/stwr;;yes
χιλωτήρ;['χιλόω'];"- nose-bag for cattle; horses";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xilwth/r;noun;yes
διδακτήρ;['διδάσκω'];- ox-goad;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=didakth/r;noun;yes
ξιφιστήρ;['ξιφίζω'];- sword-belt, PCair. Zen;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=cifisth/r;noun;yes
παλινδωμήτωρ;['πάλιν', 'δῶμα'];;;;yes
ποδονιπτήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=podonipth/r;;yes
χρυσοστέπτωρ;['χρυσός', 'στέπτω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xrusoste/ptwr;noun;yes
κομάκτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=koma/ktwr;noun;?
διομήτωρ;['Ζεύς', 'μήτηρ'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diomh/twr;noun;no
μιάστωρ;['μιαίνω'];"- crime-stained wretch who pollutes others
- avenger";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mia/stwr;noun;yes
ἀγκτήρ;['ἄγχω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)gkth/r;noun;yes
νεμέτωρ;['νέμω'];- dispenser of justice, avenger;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=neme/twr;noun;yes
συμπαίστωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sumpai/stwr;noun;yes
σίντωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=si/ntwr;noun;yes
Ἀλέκτωρ;[];;;noun;no
ὑποδρηστήρ;['ὑπό', 'δράω'];- attendant, assistant;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(podrhsth/r;noun;yes
κωλύτωρ;['κωλύω'];;;;yes
Ἀστήρ;[];;;noun;no
κωμάστωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kwma/stwr;noun;yes
κλεπτήρ;['κλέπτω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klepth/r;noun;yes
χιμαροσφακτήρ;['χίμαρος', 'σφάζω'];- goat-slayer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ximarosfakth/r;noun;yes
βασιλεύτωρ;['βασιλεύς'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=basileu/twr;noun;yes
σάκτωρ;['σάττω'];- packer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sa/ktwr;noun;yes
ὑφορμιστήρ;['ὑφορμίζομαι'];- one who makes fast below;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(formisth/r;noun;yes
ἀποπτυστήρ;['ἀπό', 'πτύω'];- one that spits out;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)poptusth/r;noun;yes
ἀσπίστωρ;['ἀσπίς'];- of shielded warriors;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)spi/stwr;noun;yes
σφαιρωτήρ;['σφαιρόω'];"- thong, latchet
- a ball; knop";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sfairwth/r;noun;yes
αἰσυμνητήρ;['αἰσυμνάω'];- ruler, prince;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)sumnhth/r;noun;yes
διωκτήρ;['διώκω'];- pursuer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diwkth/r;noun;yes
κολαστήρ;['κολάζω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kolasth/r;noun;yes
μαστικτήρ;['μαστίζω'];;;noun;yes
Μήστωρ;[];;;noun;no
ἡγητήρ;['ἡγέομαι'];- a guide;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=h(ghth/r;noun;yes
διαθετήρ;['διά', 'τίθημι'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=diaqeth/r;noun;yes
θεομήτωρ;['θεός', 'μήτηρ'];- mother of a god;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qeomh/twr;noun;no
προορχηστήρ;['πρό', 'ὀρχέομαι'];- one who leads the dance;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=proorxhsth/r;noun;yes
ὀπινιάτωρ;[];;;;yes
κυβερνητήρ;['κυβερνάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kubernhth/r;noun;yes
ἀθλοθετήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)qloqeth/r;noun;yes
λίκτωρ;[];;;;yes
μήστωρ;['μήδομαι'];- adviser, counsellor;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mh/stwr;noun;yes
Κιλλάκτωρ;[];;;noun;no
κρατύντωρ;['κρατύνω'];- ruler, controller;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kratu/ntwr;noun;yes
τυρευτήρ;['τυρεύω'];- one who makes cheese;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tureuth/r;noun;yes
παμμήστωρ;['πᾶς', 'μήστωρ'];- all-inventive;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pammh/stwr;noun;yes
ἰξευτήρ;['ἰξεύω'];- fowler;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i)ceuth/r;noun;yes
προτέκτωρ;[];;;;yes
πρωτογενέτωρ;['πρῶτος', 'γένος'];;;;yes
ἀρυστήρ;['ἀρύω'];- liquid measure;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)rusth/r;noun;yes
ἀπαγγελτήρ;['ἀπό', 'ἀγγέλλω'];- one who reports, messenger;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)paggelth/r;noun;yes
προμάτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=proma/twr;noun;no
μηνύτωρ;['μηνύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mhnu/twr;noun;yes
Νικάτωρ;[];;;noun;no
χρήστωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xrh/stwr;noun;yes
βανιάτωρ;['βαλανεῖον'];;;;yes
λιτήρ;['λιτή'];;;;?
ἐπακτήρ;['ἐπί', 'ἄγω'];"- hunter, huntsman; fisherman";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pakth/r;noun;yes
θεραπευτήρ;['θεραπεύω'];- attendant;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qerapeuth/r;noun;yes
σημήτωρ;['σῆμα'];;;;?
συνίστωρ;['σύν', 'ἵστωρ'];- knowing along with;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=suni/stwr;noun;yes
βρωτήρ;['βιβρώσκω'];"- eating; moth";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=brwth/r;noun;yes
Νεμέτωρ;[];;;noun;no
κοσμητήρ;['κοσμητής'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kosmhth/r;noun;yes
Ἐπίστωρ;[];;;noun;no
καυκουλάτωρ;[];;;;yes
μαλακτήρ;['μαλάσσω'];- one that melts and moulds;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=malakth/r;noun;yes
ἀπολυμαντήρ;['ἀπό', 'λυμαίνομαι'];"- destroyer; kill-joy; a devourer of remnants, lick-plate";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)polumanth/r;noun;yes
ὁμοκλητήρ;['ὁμοκλάω'];- shouter, threatener;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o(moklhth/r;noun;yes
πιεστήρ;['πιέζω'];- squeezer : press;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=piesth/r;noun;yes
ἀατήρ;['ἀάω'];- dishonourer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ath/r;noun;yes
προηγητήρ;['πρό', 'ἡγέομαι'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=prohghth/r;noun;yes
ἀποπρωτήκτωρ;['ἀπό'];;;;yes
θωυκτήρ;['θωύσσω'];;;noun;yes
ἀρεστήρ;['ἀρέσκω'];"- a cake; propitiatory";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)resth/r;noun;yes
γεννήτωρ;['γεννάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=gennh/twr;noun;yes
ἀστήρ;[];"- star; shooting star; meteor
- illustrious
- star-fish
- bird; goldfinch
- blue daisy, Aster Amellus
- Samian clay
- ornament
- bandage
- birthmark in form of star; mark; stár; stella; stēr-la; stairnō";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)sth/r;noun;no
κραντήρ;['κραίνω'];"- one that accomplishes; complete the set; teeth; tusk
- ruler";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kranth/r;noun;yes
κακομήτωρ;['κακός', 'μήτηρ'];- mother of ill;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kakomh/twr;noun;no
τροχαντήρ;['τρόχος'];"- trochanter; processes";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=troxanth/r;noun;yes
τεστάτωρ;[];;;;yes
ἐπιτιμήτωρ;['ἐπιτιμάω'];- avenger;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pitimh/twr;noun;yes
πορθήτωρ;['πορθέω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=porqh/twr;noun;yes
χραισμήτωρ;['χραισμέω'];- protector;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xraismh/twr;noun;yes
ἀφηγητήρ;['ἀπό', 'ἡγέομαι'];- guide;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)fhghth/r;noun;yes
κοιμήτωρ;['κοιμάω'];;;;yes
δοξαστήρ;['δοξάζω'];;;;yes
σακτήρ;['σάττω'];- sack;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sakth/r;noun;yes
δωτήρ;['δίδωμι'];- giver;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dwth/r;noun;yes
βραστήρ;['βράσσω'];- winnowing-fan;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=brasth/r;noun;yes
διφήτωρ;['διφάω'];- a searcher;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=difh/twr;noun;yes
θοινατήρ;['θοινάω'];"- one who gives a feast; feast";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qoinath/r;noun;yes
πελεκήτωρ;['πελεκάω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pelekh/twr;noun;yes
ποιμαντήρ;['ποιμαίνω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=poimanth/r;noun;yes
καταρρακτήρ;['καταρράσσω'];- down-swooping;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=katarrakth/r;noun;yes
βροντοκεραυνοπάτωρ;['βροντή', 'κεραυνός', 'πατήρ'];- father of the thunderbolt;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=brontokeraunopa/twr;noun;no
δοκιμαστήρ;['δοκιμάζω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dokimasth/r;noun;yes
προκαταγγέλτωρ;['πρό', 'κατά', 'ἀγγέλλω'];;;;yes
ἀναστατήρ;['ἀνά', 'ἵστημι'];- destroyer;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)nastath/r;noun;yes
Υἱοπάτωρ;['υἱός', 'πατήρ'];;;noun;no
πολυσημάντωρ;['πολύς', 'σημαίνω'];- giving commands to many, ruling over many;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=polushma/ntwr;noun;yes
κορρήκτωρ;[];;;;yes
ξυστήρ;['ξύω'];"- scraper, rasp, file; polishing instrument
- eye-salve";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=custh/r;noun;yes
προΐστωρ;['πρό', 'ἴστωρ'];;;noun;yes
ὀψητήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)yhth/r;noun;yes
καλκουλάτωρ;[];;;;yes
ταριχευτήρ;['ταριχεύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tarixeuth/r;noun;yes
ἑψητήρ;['ἕψω'];"- dish; pan for boiling";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(yhth/r;noun;yes
Θεομήστωρ;[];;;noun;no
ἐπισπαστήρ;['ἐπί', 'σπάω'];"- latch; handle by which; a door is pulled to";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pispasth/r;noun;yes
κιλλακτήρ;['κίλλαι', 'ἄγω'];- ass-driver;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=killakth/r;noun;yes
χριστοπάτωρ;['Χριστός', 'πατήρ'];;;;no
μεταλήπτωρ;['μετά', 'λαμβάνω'];;;;yes
θέλκτωρ;['θέλγω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qe/lktwr;noun;yes
πολιήτωρ;[];;;;yes
πράτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pra/twr;noun;yes
μαγίστωρ;[];;;;yes
φιλίστωρ;['φίλος', 'ἵστωρ'];- fond of learning;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fili/stwr;noun;yes
ἐξομβριστήρ;['ἐξ', 'ὀμβρέω'];;;;no
φωστήρ;['φῶς'];"- that which gives light
- opening for light, door; window";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fwsth/r;noun;yes
ἀνίστωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)ni/stwr;noun;yes
σωφρονιστήρ;['σωφρονίζω'];- wisdom-teeth;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=swfronisth/r;noun;yes
Ἀγαμήστωρ;[];;;noun;no
σκαπτήρ;['σκάπτω'];- digger;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=skapth/r;noun;yes
χρητήρ;['χρή', 'χρῄζω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xrhth/r;noun;yes
ποτισπαστήρ;['ποτί', 'σπάω'];- thong which draws;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=potispasth/r;noun;yes
Εὐπάτωρ;[];;;noun;no
Στέντωρ;[];- Stentorian, with a voice like Stentor's;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*ste/ntwr;noun;no
στρώκτωρ;[];;;;yes
ἐπιδοτήρ;['ἐπί', 'δίδωμι'];- giver of more;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pidoth/r;noun;yes
νάτωρ;['νάω'];- flowing;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=na/twr;noun;yes
Μενέστωρ;[];;;noun;no
ψαίστωρ;['ψαίω'];- one that wipes off;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=yai/stwr;noun;yes
ἀπάτωρ;['πατήρ'];"- without father; fatherless, orphan; disowned by the father; for a father";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)pa/twr;noun;no
ἰθύντωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i)qu/ntwr;;yes
ὑποφήτωρ;['ὑπό', 'φημί'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(pofh/twr;noun;yes
ἀλέκτωρ;['λέγω'];;;noun;yes
πολυφήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=polufh/twr;noun;yes
τριπτήρ;['τετραίνω', 'τρύω'];"- pestle; mortar; board under the screw of a wine-; oil-press
- vat into which wine; oil runs after being pressed out";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=tripth/r;noun;yes
σπεκουλάτωρ;[];"- speculator; scout";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=spekoula/twr;noun;yes
