lemma;derivation;meaning;lsj_ulr;pos;Clean
σωματοφρουρητήρ;['σῶμα', 'φρουρητήρ'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=swmatofrourhth/r;noun;yes
πυρσευτήρ;['πυρσεύω'];- one who heats a bath;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=purseuth/r;noun;yes
χερμαστήρ;['χερμάς'];- slinger;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xermasth/r;noun;yes
θεοσέπτωρ;['θεός', 'σέβω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qeose/ptwr;noun;yes
συργάστωρ;['σύρω', 'γαστήρ'];;;noun;no
κτήτωρ;['κτάομαι'];- possessor, owner;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kth/twr;noun;yes
εὐνήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=eu)nh/twr;noun;yes
Ἀγήτωρ;[];- Leader;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*)agh/twr;noun;no
ῥυστήρ;['ἐρύω'];"- deliverer
- rein";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=r(usth/r;noun;yes
ἐπιτακτήρ;['ἐπί', 'τάσσω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)pitakth/r;noun;yes
κουβίτωρ;[];;;;yes
ἡβήτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=h(bh/twr;noun;yes
πνευματοκλήτωρ;['πνεῦμα', 'καλέω'];;;;yes
πειστήρ;['πείθω'];- one who obeys;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=peisth/r;noun;yes
ἀγρευτήρ;['ἀγρεύω'];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)greuth/r;noun;yes
κλωστήρ;['κλώθω'];"- spindle
- thread, yarn";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klwsth/r;noun;yes
διοτήρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dioth/r;;yes
κλωποπάτωρ;['κλώψ', 'πατήρ'];- son of a thief;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klwpopa/twr;noun;no
περιχαρακτήρ;['περί', 'χαράσσω'];- instrument for detaching;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=perixarakth/r;noun;yes
μαμμοπάτωρ;['μάμμα', 'πατήρ'];- maternal grandfather;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=mammopa/twr;noun;no
ἱεροφάντωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i(erofa/ntwr;;yes
ὁμοπάτωρ;['ὁμός', 'πατήρ'];;;noun;no
δειπνοκλήτωρ;['δεῖπνον', 'κλήτωρ'];- one who invites to dinner;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=deipnoklh/twr;noun;yes
εὐαστήρ;['εὐάζω'];- in;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=eu)asth/r;noun;yes
ὑπασπιστήρ;['ὑπό', 'ἀσπίς'];- shield-bearing;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(paspisth/r;noun;yes
ἀφήτωρ;['ἀπό', 'ἵημι'];"- archer; prophet";https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)fh/twr;noun;yes
φυλάκτωρ;[];;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fula/ktwr;noun;yes
ἀβολήτωρ;['ἀβολέω'];- one who meets;https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)bolh/twr;noun;yes
Πολύκτωρ;[];;;noun;no
