base
Θήβη / Qhbh
Θήρα / Qhra
Θαΐς / Qais
Θαλύσιος / Qalusios
Θαργήλια / Qarghlia
Θεία / Qeia
Θεαγένης / Qeagenhs
Θεμίσκυρα / Qemiskura
Θεμιστοκλῆς / Qemistoklhs
Θεοδέκτης / Qeodekths
Θεοδώρα / Qeodwra
Θεοφρόνιος / Qeofronios
Θεράπνη / Qerapnh
Θερσίτης / Qersiths
Θεσπιαί / Qespiai
Θεσπρωτία / Qesprwtia
Θεσσαλία / Qessalia
Θεσσαλός / Qessalos
Θετταλίζω / Qettalizw
Θεόδοτος / Qeodotos
Θεόδωρος / Qeodwros
Θεόπομπος / Qeopompos
Θεόφραστος / Qeofrastos
Θηβαῖος / Qhbaios
Θηρικλῆς / Qhriklhs
Θησεύς / Qhseus
Θησεῖον / Qhseion
Θοάς / Qoas
Θορικός / Qorikos
Θουκυδίδης / Qoukudidhs
Θούριοι / Qourioi
Θούριον / Qourion
Θρασυμάχειος / Qrasumaxeios
Θρασύμαχος / Qrasumaxos
Θρινακίη / Qrinakih
Θρόνιον / Qronion
Θρᾴκη / Qrakh
Θρᾴξ / Qrac
Θρᾷξ / Qrac
Θρῖα / Qria
Θυάτειρα / Quateira
Θυέστης / Quesths
Θυμαιτάδαι / Qumaitadai
Θυρεά / Qurea
Θόραι / Qorai
Θύβρις / Qubris
Θύμβρα / Qumbra
Θύμβρις / Qumbris
Θύνιον / Qunion
Θύριον / Qurion
Θῆβαι / Qhbai
Κάβειροι / Kabeiroi
Κάδμος / Kadmos
Κάλλειον / Kalleion
Κάλυνδα / Kalunda
Κάλχας / Kalxas
Κάμειρος / Kameiros
Κάναστρον / Kanastron
Κάνταβροι / Kantabroi
Κάνωβος / Kanwbos
Κάρ / Kar
Κάρμινα / Karmina
Κάρνεια / Karneia
Κάρνη / Karnh
Κάρυστος / Karustos
Κάσιον / Kasion
Κάστνιον / Kastnion
Κάστωρ / Kastwr
Κάτων / Katwn
Κάψα / Kaya
Κάϊν / Kain
Κάϋστρος / Kaustros
Κέας / Keas
Κέκροψ / Kekroy
Κένταυρος / Kentauros
Κέος / Keos
Κέρβερος / Kerberos
Κέρδων / Kerdwn
Κέρκαφος / Kerkafos
Κέρκινα / Kerkina
Κέρκυρα / Kerkura
Κήρινθος / Khrinqos
Κίκυννα / Kikunna
Κίλιξ / Kilic
Κίμβρος / Kimbros
Κίμωλος / Kimwlos
Κίμων / Kimwn
Κίρκη / Kirkh
Κίρρα / Kirra
Κίτιον / Kition
Καβησσός / Kabhssos
Καινεύς / Kaineus
Καισάρεια / Kaisareia
Καλήτωρ / Kalhtwr
Καλαύρεια / Kalaureia
Καλλίμαχος / Kallimaxos
Καλλίπολις / Kallipolis
Καλυδών / Kaludwn
Καλύδναι / Kaludnai
Καμάρινα / Kamarina
Καμπανία / Kampania
Κανά / Kana
Κανδαύλης / Kandaulhs
Καπίννα / Kapinna
Καπανεύς / Kapaneus
Καπετώλιον / Kapetwlion
Καππαδοκία / Kappadokia
Καππαδόκης / Kappadokhs
Καπύη / Kapuh
Καρία / Karia
Καρδία / Kardia
Καρδοῦχοι / Kardouxoi
Καρικός / Karikos
Καρκίνος / Karkinos
Καρμέντα / Karmenta
Καρμανία / Karmania
Καρποκράτης / Karpokraths
Καρυᾶτις / Karuatis
Καρχηδών / Karxhdwn
Καρύανδα / Karuanda
Κασθαναία / Kasqanaia
Κατάνη / Katanh
Κατακεκαυμέμη / Katakekaumemh
Καταονία / Kataonia
Καυλωνία / Kaulwnia
Καφηρεύς / Kafhreus
Καύκασις / Kaukasis
Καῖσαρ / Kaisar
Καῦνος / Kaunos
Κεβρήν / Kebrhn
Κειριάδαι / Keiriadai
Κεκροπία / Kekropia
Κελτός / Keltos
Κεντόριπα / Kentoripa
Κερασοῦς / Kerasous
Κεραύνια / Keraunia
Κερκέτης / Kerkeths
Κερύνεια / Keruneia
Κεφαλληνία / Kefallhnia
Κηφισία / Khfisia
Κηφισός / Khfisos
Κιθαιρών / Kiqairwn
Κιλίκιος / Kilikios
Κιλικία / Kilikia
Κιλικίζω / Kilikizw
Κιμμέριος / Kimmerios
Κισσεύς / Kisseus
Κισσῆς / Kisshs
Κλάρος / Klaros
Κλέαρχος / Klearxos
Κλέων / Klewn
Κλήμης / Klhmhs
Κλαζομεναί / Klazomenai
Κλαύδιος / Klaudios
Κλεάνωρ / Kleanwr
Κλεινίας / Kleinias
Κλειτορία / Kleitoria
Κλεομένης / Kleomenhs
Κλεοπάτρα / Kleopatra
Κλεωναί / Klewnai
Κλεόμαχος / Kleomaxos
Κλεώνυμος / Klewnumos
Κλοίλιος / Kloilios
Κλοιλία / Kloilia
Κλούσιον / Klousion
Κλύτιος / Klutios
Κνάκαλος / Knakalos
Κνίδιος / Knidios
Κνίδος / Knidos
Κνίσος / Knisos
Κνωσσός / Knwssos
Κνώσιος / Knwsios
Κοθωκίδαι / Koqwkidai
Κοιλοσυρία / Koilosuria
Κοισύρα / Koisura
Κολλυτός / Kollutos
Κολοσσαί / Kolossai
Κολοφών / Kolofwn
Κολχίς / Kolxis
Κολωνός / Kolwnos
Κομμαγηνή / Kommaghnh
Κονθύλη / Konqulh
Κοπτός / Koptos
Κορίνθιος / Korinqios
Κοραξοί / Koracoi
Κορνίκολον / Kornikolon
Κορυδαλλός / Korudallos
Κορυφάσιον / Korufasion
Κορόπη / Koroph
Κορύβας / Korubas
Κορώνεια / Korwneia
Κοτύωρα / Kotuwra
Κουρής / Kourhs
Κούριον / Kourion
Κοῖος / Koios
Κράτης / Kraths
Κρέων / Krewn
Κρής / Krhs
Κρήτη / Krhth
Κραναός / Kranaos
Κραννών / Krannwn
Κρατῖνος / Kratinos
Κρηθεύς / Krhqeus
Κρηστών / Krhstwn
Κρηταῖος / Krhtaios
Κριτίας / Kritias
Κριώα / Kriwa
Κρομμύων / Krommuwn
Κροῖσος / Kroisos
Κρυασσός / Kruassos
Κρωπιά / Krwpia
Κρόνος / Kronos
Κρότων / Krotwn
Κρότωπος / Krotwpos
Κρῆτες / Krhtes
Κρῖσα / Krisa
Κυβέλη / Kubelh
Κυβήλη / Kubhlh
Κυδαθήναιον / Kudaqhnaion
Κυδαντίδαι / Kudantidai
Κυδωνία / Kudwnia
Κυδώνιος / Kudwnios
Κυθέρεια / Kuqereia
Κυλλήνη / Kullhnh
Κυμαῖος / Kumaios
Κυπριανός / Kuprianos
Κυπρογενής / Kuprogenhs
Κυρήνη / Kurhnh
Κυρῖνος / Kurinos
Κωκυτός / Kwkutos
Κωνσταντῖνος / Kwnstantinos
Κόδρος / Kodros
Κόνυος / Konuos
Κόνων / Konwn
Κόρη / Korh
Κόρινθος / Korinqos
Κύζικος / Kuzikos
Κύθηρα / Kuqhra
Κύθνος / Kuqnos
Κύκλωψ / Kuklwy
Κύκνος / Kuknos
Κύλων / Kulwn
Κύμη / Kumh
Κύνθος / Kunqos
Κύπριος / Kuprios
Κύπρις / Kupris
Κύπρος / Kupros
Κύρνος / Kurnos
Κύταια / Kutaia
Κύτινα / Kutina
Κύφος / Kufos
Κύχρεια / Kuxreia
Κύψελος / Kuyelos
Κώρυκος / Kwrukos
Κῖνυψ / Kinuy
Κῦρα / Kura
Κῦρος / Kuros
Κῶνσος / Kwnsos
Κῶπαι / Kwpai
Κῶς / Kws
Λάβδακος / Labdakos
Λάζαρος / Lazaros
Λάκμων / Lakmwn
Λάκων / Lakwn
Λάμαχος / Lamaxos
Λάμητος / Lamhtos
Λάμψακος / Lamyakos
Λάρανδα / Laranda
Λάρισα / Larisa
Λάτμος / Latmos
Λάϊος / Laios
Λέανδρος / Leandros
Λέβεδος / Lebedos
Λέλεγες / Leleges
Λέπρεον / Lepreon
Λέρνα / Lerna
Λέσβιος / Lesbios
Λέσβος / Lesbos
Λίβανος / Libanos
Λίβυα / Libua
Λίγγονες / Liggones
Λίγυς / Ligus
Λίλαια / Lilaia
Λίμναι / Limnai
Λίνδος / Lindos
Λίνος / Linos
Λαέρτης / Laerths
Λαιστρυγών / Laistrugwn
Λακεδαίμων / Lakedaimwn
Λακεδαιμόνιος / Lakedaimonios
Λαμία / Lamia
Λαοδίκεια / Laodikeia
Λαομέδων / Laomedwn
Λαουΐνιον / Laouinion
Λαπίθης / Lapiqhs
Λασιών / Lasiwn
Λατῖνος / Latinos
Λαύρειον / Laureion
Λαύρεντον / Laurenton
Λείβηθρα / Leibhqra
Λεβάδεια / Lebadeia
Λειβήθριον / Leibhqrion
Λεοντῖνοι / Leontinoi
Λευεΐτης / Leueiths
Λευεί / Leuei
Λευκάς / Leukas
Λευκανία / Leukania
Λεωνίδας / Lewnidas
Λεωντίς / Lewntis
Λεύκιππος / Leukippos
Λεύκολλος / Leukollos
Λεύκων / Leukwn
Λεῦκτρα / Leuktra
Λητώ / Lhtw
Λιβία / Libia
Λιβύα / Libua
Λιβύη / Libuh
Λικύμνιος / Likumnios
Λιλύβαιον / Lilubaion
Λιπάρα / Lipara
Λοκρός / Lokros
Λούκουλλος / Loukoullos
Λυδός / Ludos
Λυκάμβης / Lukambhs
Λυκάων / Lukawn
Λυκία / Lukia
Λυκαονία / Lukaonia
Λυκιάρχης / Lukiarxhs
Λυκομήδης / Lukomhdhs
Λυκοῦργος / Lukourgos
Λυκόρμας / Lukormas
Λυρνησσός / Lurnhssos
Λυσίμαχος / Lusimaxos
Λυσιμάχεια / Lusimaxeia
Λύγκος / Lugkos
Λύδιος / Ludios
Λύκαιον / Lukaion
Λύκαιος / Lukaios
Λύκαστος / Lukastos
Λύκια / Lukia
Λύκιος / Lukios
